id,session_token,nickname,age,gender,municipality,has_children,has_elderly,has_pets,created_at
08c925be-69b2-4323-ad65-821c6d6020a8,ad4b50ae-21b1-47b6-bc37-33fef066aa3f,Wendy,28,female,Helsinki,false,false,false,2026-04-07 08:24:36.51551
0f86bbdb-c697-41b6-ae60-9000143236d0,5e25d12d-7abe-41cf-9700-e0c9c67f8144,Khanh,28,female,Espoo,false,false,false,2026-03-22 21:39:14.02614
27cefaff-6388-4aec-8ab9-4f4215907f8c,20dc71b9-a224-44f9-8568-9fbabf5a9b8f,leyi,28,female,Helsinki,true,false,false,2026-03-24 17:36:47.522942
2d85810f-378c-46c5-8c97-45714a51ddf7,952926f0-5a69-4856-b8ed-91b6f08bc1b3,Shirin,31,female,Helsinki,false,false,false,2026-03-23 10:57:07.755337
317b387f-1a0b-41aa-af6c-4c0ba08947c6,367d027d-07a1-451f-88d3-e95bfe35ef9f,Anonymous,42,male,Helsinki,false,false,false,2026-04-08 08:49:40.67565
38ebea23-868c-4797-82ee-e0cf40275294,963bd0b3-0d8d-4a80-8a85-bad7d3df6acb,Mari,37,female,Helsinki,false,false,false,2026-04-07 12:15:14.656667
3a6014a1-f000-40e3-b105-7b0123a9d654,8a9fd2e8-18d9-44c5-88a6-065cd88d2f0e,Ihanna,33,female,Helsinki,false,false,false,2026-04-07 12:44:51.707962
3e330fb7-20e4-4d14-8057-0c22db928d2c,192389df-2a3d-464f-93e6-fd76f35f3edb,KKK,24,female,Espoo,false,false,true,2026-03-23 00:36:52.013714
3ed6c67f-8a07-44b0-ae5d-06256f197631,3e5888c1-a31a-4208-b358-1ee7500114b0,S,30,male,Vaasa,false,false,false,2026-03-25 08:35:49.691043
43f5c91c-4e43-45ad-9082-63fb43956e63,ea674fe1-e107-452a-8049-47c9c021c83c,KP,28,female,Akaa,false,false,false,2026-03-22 19:34:33.364666
447cc68b-6c5c-4002-961f-a1c8c2bd462b,10402851-938b-4ac8-932f-24bb972ecf5a,Linh,28,female,Helsinki,false,false,false,2026-04-06 08:56:32.743282
4512d124-9fb2-4d9f-97e6-bce030eedebc,408e4ce3-6df4-4847-9289-e50398345dd0,Haiyu,25,female,Helsinki,false,false,true,2026-04-06 13:02:31.102649
4a8e4fd9-14df-4d5e-b6f1-f9bf87122b9d,36101101-b19a-467b-b3b3-b7533b394e05,Anonymous,26,male,Turku,false,false,false,2026-04-07 14:09:56.130147
4d7b9fd2-4030-48c9-9fb5-726a50f41e68,4c1d878f-ef49-446e-91b7-9505b7cf7bc4,Luigi,26,other,Turku,false,true,false,2026-04-07 12:32:09.630993
54bd08f6-0004-41cf-95ca-a74cff42f614,3a4e6449-388c-487e-af63-cf04c83bb56a,bee,23,female,Turku,false,false,false,2026-04-04 12:20:40.795536
582b3919-24bb-475f-a128-feb76064cdb7,a43a9846-f1d1-4c63-8c4a-014488d1f9cf,Hahahaha,32,female,Turku,false,false,true,2026-03-23 00:30:37.554954
5bf82202-be9f-486a-9e0c-d29ad0b49b2c,b2248967-f15d-42e8-a480-7c156cba7265,233,28,male,Espoo,false,false,false,2026-03-22 14:14:29.761136
5d0974f0-1212-4399-9bf7-31ee676bd088,f4c842a1-16e5-4685-b53c-6e36ae1c89fb,Anonymous,35,female,Lahti,false,false,false,2026-04-07 13:52:25.37309
5f1fed93-dd42-498a-909c-41d958720cf2,4c0bc696-2acc-412d-84d8-1aeced305fd8,pingu,32,female,Helsinki,false,false,false,2026-04-04 12:00:01.741176
606ae701-d09f-44fa-a808-e5f098896c50,89e908c0-a122-4b87-b02b-55cd3c807d26,Dey Subhrasankha,36,male,Espoo,false,false,false,2026-03-25 08:35:43.443
65e0f53f-ac2e-4201-92e8-b2f46b00ac7c,4b13a861-9072-4f83-b0ac-f6e1f0274bf2,1,20,female,Helsinki,true,false,false,2026-03-23 14:53:14.194262
663828e5-0234-475a-8732-8461607cdbb0,f59fae57-8db9-4a9e-a59b-494a5184117f,Bobby,24,male,Helsinki,false,false,false,2026-03-25 08:37:02.223837
696673f8-5e34-40e0-97d6-b32cf55ae28e,e34cda18-0b95-4378-a74c-5b490d50043f,Anonymous,28,male,Turku,false,false,false,2026-04-04 14:55:45.800306
791ff1d9-d611-42bc-97e1-21074475f141,2aa97835-2472-464d-b4ae-424ea4b767c0,Ems,27,female,Turku,false,false,true,2026-04-07 09:49:29.660542
7b4bbb08-da07-492e-878e-63ddd35809fd,8a31fc77-8140-4fc1-8eb5-c8be3e1fe615,Deneme,37,male,Turku,false,false,false,2026-03-25 08:40:49.120745
7c2e1bd2-e7a3-4785-ba86-4d47ce11d228,83b172ad-e46c-4973-ad03-046c7706a819,Farnaz,33,female,Helsinki,false,false,false,2026-03-23 12:43:27.661544
807213f5-b56b-4d1a-8297-8ff624cb36b6,50e54b85-493f-4e89-936e-66cb7252d6b2,Aleksi,42,male,Turku,true,false,true,2026-03-30 07:02:09.72251
83e3145a-e77c-4e31-bd56-98f37dcdbd88,4a7012fe-4496-4d33-aaaa-9a8d9b7dc612,Perkele,52,other,Pertunmaa,false,false,false,2026-03-25 08:35:10.411595
86b6864f-9c63-4434-a859-69495805e760,b0fd8047-1f24-49bc-836a-54276bad81e3,alli,28,female,Turku,false,false,true,2026-03-23 10:43:00.080939
86ccee56-599a-4d63-ac67-4e41d3ecfcd2,e81e8d13-2fa4-4ab5-89a5-8a7d94637d6d,Shin,29,female,Helsinki,false,false,true,2026-04-07 14:21:51.282556
89059b4e-8e08-4ab2-a072-d22c29b1e17d,9cd14f83-f611-47f7-9e0d-7782c3c97b96,Io,36,female,Turku,false,false,false,2026-04-04 11:20:43.882887
8abc03cc-b517-48fd-a4d1-d3c655dfc8d6,75218596-274c-46ac-84be-033d3a13ed06,Hee,34,male,Turku,false,false,true,2026-04-07 14:24:09.954082
9495c32b-f38e-4407-927b-dfa557a21fa9,f10aff08-dfcf-498d-ba30-a69fe909213c,Anonymous,28,male,Turku,false,false,false,2026-04-07 14:07:59.877098
983fe7f9-c46e-4380-a902-8ddc850c14ce,16b014f8-80a1-4cb8-b88d-d3bff5650931,Anonymous,32,male,Helsinki,false,false,false,2026-04-04 14:18:34.576005
98597342-52f7-4bf6-bbff-31c71838f8e4,2ab94666-a801-4a14-9208-3658d63e77f6,achaya,37,male,Helsinki,false,false,true,2026-03-28 21:25:23.010136
